CODE,LATITUDE,LONGITUDE,LAST MODIFIED DATE,ID,POSTAL CODE
RT01193105,21.1786197,80.1772897,04-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441807
RT01193106,21.0930892,80.1542775,04-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441807
RT01193107,21.0934686,80.1543225,04-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441807
RT01193114,21.09187,80.1543213,04-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441807
RT01193137,21.0936522,80.1530617,04-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441807
RT01193151,21.0935552,80.1543719,04-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441807
RT01193154,21.0936527,80.1543504,04-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441807
RT01196491,20.9120569,80.0885909,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441702
RT01196493,20.9099385,80.0884325,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441702
RT01196494,20.911579,80.0885199,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441702
RT01196496,20.909938,80.088431,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441702
RT01196503,20.9141838,80.0890683,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441702
RT01196510,20.9122123,80.0887409,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441702
RT01196531,20.9118875,80.0889862,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441702
RT01196533,20.9112537,80.0884636,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441702
RT01196544,20.8185876,80.0276685,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441701
RT01196572,20.8187488,80.0270301,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441701
RT01196575,20.8185894,80.0273836,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441701
RT01196580,20.8198735,80.0251341,16-03-2021 00:00,"1B44F5C9-098E-4DE5-87AD-AE7D1489001E
",441701
