CODE,LATITUDE,LONGITUDE,LAST MODIFIED DATE,ID,POSTAL CODE
RT01068623,19.7919591,85.8092918,05-01-2021 00:00,"b58a7b3c-9627-4c2d-989b-a337cfd93bcb
",752001
RT01135996,19.8148134,85.8363244,07-01-2021 00:00,"d9825363-a380-40c4-a286-601f36ca6a43
",752002
RT01136397,19.8148137,85.8363477,07-01-2021 00:00,"b8de745f-7226-4aaa-a235-e8ead530daeb
",752002
RT01136602,20.2019611,85.8708704,07-01-2021 00:00,"54a8da81-f193-48c9-afc1-bc91241cce80
",752100
RT01154523,20.2017039,85.8705843,07-01-2021 00:00,"8161b8d1-8da3-442e-8e12-1769a3a18077
",752100
RT01154539,19.814808,85.8363206,07-01-2021 00:00,"410c2092-050f-4604-a174-865b7715a3f2
",752002
RT01154549,19.8148264,85.836319,07-01-2021 00:00,"5a53840e-9cc2-409c-a938-3545059fada4
",752002
RT01154648,19.8625038,85.8332647,05-01-2021 00:00,"31b8d5f5-1a2d-4be1-b5fc-4290bc9feb37
",752002
RT01154782,19.7919552,85.809276,05-01-2021 00:00,"ce7a9f0d-fd67-42a8-98db-800492aa8d51
",752001
RT01169514,19.7967146,85.8305098,23-12-2020 00:00,"5ec4acce-2363-4571-88ec-0836a358f319
",752002
RT01169523,19.7967084,85.8305136,23-12-2020 00:00,"2b1617b1-95cf-4460-a57a-e3e430768599
",752002
RT01169529,19.7967145,85.8305019,23-12-2020 00:00,"70e111fa-1504-4fdd-a08e-fb116bcfa0bd
",752002
RT01169533,19.7966978,85.8305028,23-12-2020 00:00,"c0bdaa77-ef6b-45b2-a785-b51db78b7d6d
",752002
RT01169534,19.7967147,85.8305101,23-12-2020 00:00,"9f743068-31b6-4a3c-91b8-49ea6e03753e
",752002
RT01169541,19.7967142,85.8305123,23-12-2020 00:00,"3e87dbf2-cb7c-4c7c-bc3e-cef02aaa3fe7
",752002
RT01169543,19.8239803,85.8330921,23-12-2020 00:00,"811fd2f1-8848-46c3-ac2a-f49a4bfcc082
",752002
RT01169546,19.7967059,85.8305125,23-12-2020 00:00,"c8d254fb-4895-4c25-9508-f3a9fef2ef12
",752002
RT01169551,19.7967145,85.8305105,23-12-2020 00:00,"1fc7b61b-ac3c-41d4-8cdc-1eb73db80444
",752002
RT01169553,19.7967103,85.8305171,23-12-2020 00:00,"1e747d81-6729-4a8f-8307-be56dc36a716
",752002
RT01169561,19.7967145,85.8305108,23-12-2020 00:00,"3902cacd-3835-40f5-a73e-2c9d0d871587
",752002
RT01169662,19.8608077,85.8345097,23-12-2020 00:00,"d7838dfd-f83e-4b6d-b138-e6fdd3a380a8
",752002
